id,concept,feature,story,expected,trigger,files,endpoint,status,test_result,severity,notes,edge_cases,test_cases,defect_count,last_tested
command-11,Command Center,Header KPI Strip - Live Signals,"As a PM/CIO, I want real-time watch/QA/alert counts in the header so that I can spot issues without scrolling.","Header shows Watch (3, red), QA open (5, orange), Alerts today (dynamic). Persistently visible.",Route load; alerts update live,caos/frontend/src/app/command/page.tsx:83,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Route load; alerts update live → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-12,Command Center,Monitor Deep Link,"As a PM/CIO, I want to navigate to Monitor so that I can see live CP-MON intelligence.","""→ Monitor"" link in Alerts badge navigates to /monitor.","Click ""→ Monitor""",caos/frontend/src/app/command/page.tsx:85,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Click ""→ Monitor"" → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-13,Command Center,View Toggle - CIO / Research / Sector RV,"As a PM/CIO or Head of Research, I want to switch lenses so that I can focus on what's relevant to my role.",Toggle group switches PORTFOLIO / RESEARCH / SECTOR RV; active tab highlighted; subtitle updates.,Click toggle option,caos/frontend/src/app/command/page.tsx:55,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Click toggle option → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-14,Command Center,NL Query - Ask Bar,"As a buy-side analyst, I want to ask cross-issuer questions in plain language so that I can find issuers by criteria.",Input (max 500 chars) with ASK button; Enter submits; disabled if empty or in progress.,Type + Enter/ASK,caos/frontend/src/components/command/NlQuery.tsx:227,POST /api/query/nl,Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,"Input (max 500 chars) with ASK button; disabled if empty or in progress; API unreachable/timeout → bounded failure state, no hang (axios 20s default); validation: POST query/nl: question(required,minLen=1,maxLen=500)","happy: Type + Enter/ASK → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: endpoint 4xx/5xx → surfaced error/degraded state, never blank; invalid: malformed params/body → 422 (FastAPI validation); security: unauthenticated → identity gate (RequireAuth / get_identity); no cross-analyst read; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-15,Command Center,NL Query - Starter Examples,"As a new analyst, I want example queries so that I can learn what's supported.",Three starter query buttons before any result; clicking runs that query immediately. Hidden after result/while loading.,Route load,caos/frontend/src/components/command/NlQuery.tsx:248,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Route load → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-16,Command Center,NL Query - Interpretation Display,"As a buy-side analyst, I want to see how the system parsed my question so that I can verify intent.","After success, a ""Reading"" line shows the system's plain-English interpretation.",Successful query,caos/frontend/src/components/command/NlQuery.tsx:270,POST /api/query/nl,Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,"API unreachable/timeout → bounded failure state, no hang (axios 20s default); validation: POST query/nl: question(required,minLen=1,maxLen=500)","happy: Successful query → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: endpoint 4xx/5xx → surfaced error/degraded state, never blank; invalid: malformed params/body → 422 (FastAPI validation); security: unauthenticated → identity gate (RequireAuth / get_identity); no cross-analyst read; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-17,Command Center,NL Query - Auto-Generated Summary,"As a buy-side analyst, I want an NL summary of results so that I get the takeaway without reading the table.","""Summary"" section shows auto-generated narrative of key findings/outliers (narrate()).",Successful query,caos/frontend/src/components/command/NlQuery.tsx:277,POST /api/query/nl,Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,"API unreachable/timeout → bounded failure state, no hang (axios 20s default); validation: POST query/nl: question(required,minLen=1,maxLen=500)","happy: Successful query → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: endpoint 4xx/5xx → surfaced error/degraded state, never blank; invalid: malformed params/body → 422 (FastAPI validation); security: unauthenticated → identity gate (RequireAuth / get_identity); no cross-analyst read; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-18,Command Center,NL Query - Structured Results Table,"As a buy-side analyst, I want ranked metric results in a table so that I can compare issuers.","Table (#, Issuer, metric cols); rows show name, ticker, provenance (CP-1 LIVE/DERIVED/SEEDED), optional QA gate (BLOCKED/RESTRICTED). Pre-ranked server-side by rank_by/direction; headers are not click-to-sort (only Sector RV tables sort).",Successful structured query,caos/frontend/src/components/command/NlQuery.tsx:77,POST /api/query/nl,Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",Low,Workflow doc-fix: NL structured results table is pre-ranked server-side (rank_by/direction); headers are not click-to-sort. 'expected' corrected.,"API unreachable/timeout → bounded failure state, no hang (axios 20s default); validation: POST query/nl: question(required,minLen=1,maxLen=500)","happy: Successful structured query → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: endpoint 4xx/5xx → surfaced error/degraded state, never blank; invalid: malformed params/body → 422 (FastAPI validation); security: unauthenticated → identity gate (RequireAuth / get_identity); no cross-analyst read; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-19,Command Center,NL Query - Semantic Results View,"As a buy-side analyst, I want excerpted document evidence so that I can review qualitative matches.",Issuers grouped in static cards (not collapsible) with EVIDENCE badge + excerpts as quotes with doc labels; click label opens CitationViewer.,Successful semantic query,caos/frontend/src/components/command/NlQuery.tsx:160,POST /api/query/nl,Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",Low,"Workflow doc-fix: semantic result cards are static <div>s, not collapsible. 'expected' corrected.","API unreachable/timeout → bounded failure state, no hang (axios 20s default); validation: POST query/nl: question(required,minLen=1,maxLen=500)","happy: Successful semantic query → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: endpoint 4xx/5xx → surfaced error/degraded state, never blank; invalid: malformed params/body → 422 (FastAPI validation); security: unauthenticated → identity gate (RequireAuth / get_identity); no cross-analyst read; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-20,Command Center,NL Query - Citation Chip (Click-to-Source),"As a buy-side analyst, I want to click a citation to read the source chunk so that I can verify.","Citation chips open modal with issuer, doc type, label, full text, chunk ID; close via Esc/X/backdrop.",Click citation chip,caos/frontend/src/components/command/CitationViewer.tsx:14,GET /api/query/chunk/{chunkId},Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,"close via Esc/X/backdrop; API unreachable/timeout → bounded failure state, no hang (axios 20s default); validation: GET chunk/{}: chunk_id(required)","happy: Click citation chip → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: endpoint 4xx/5xx → surfaced error/degraded state, never blank; invalid: malformed params/body → 422 (FastAPI validation); security: unauthenticated → identity gate (RequireAuth / get_identity); no cross-analyst read; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-21,Command Center,NL Query - Error Handling,"As a buy-side analyst, I want clear error messages when a query fails so that I can retry.","On failure, yellow-bordered alert with warning icon + backend error detail.",Query error,caos/frontend/src/components/command/NlQuery.tsx:263,POST /api/query/nl,Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,"On failure, yellow-bordered alert with warning icon + backend error detail; API unreachable/timeout → bounded failure state, no hang (axios 20s default); validation: POST query/nl: question(required,minLen=1,maxLen=500)","happy: Query error → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: endpoint 4xx/5xx → surfaced error/degraded state, never blank; invalid: malformed params/body → 422 (FastAPI validation); security: unauthenticated → identity gate (RequireAuth / get_identity); no cross-analyst read; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-22,Command Center,NL Query - Auto-Generated Visualization,"As a buy-side analyst, I want an auto chart for multi-row results so that I can spot leader/trailer.",Bar chart for rankable structured results; height adjusts to data (max 280px); rendered by G2Chart.,Successful rankable structured query,caos/frontend/src/components/command/NlQuery.tsx:288,POST /api/query/nl,Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,"API unreachable/timeout → bounded failure state, no hang (axios 20s default); validation: POST query/nl: question(required,minLen=1,maxLen=500)","happy: Successful rankable structured query → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: endpoint 4xx/5xx → surfaced error/degraded state, never blank; invalid: malformed params/body → 422 (FastAPI validation); security: unauthenticated → identity gate (RequireAuth / get_identity); no cross-analyst read; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-23,Command Center,NL Query - Provenance & QA Gates,"As a Head of Research/QA, I want source/QA status per metric so that I know which results are gated.",Metric cells show provenance pills (CP-1 LIVE/DERIVED/SEEDED) and QA badges (BLOCKED/RESTRICTED).,Successful query,caos/frontend/src/components/command/NlQuery.tsx:100,POST /api/query/nl,Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,"API unreachable/timeout → bounded failure state, no hang (axios 20s default); validation: POST query/nl: question(required,minLen=1,maxLen=500)","happy: Successful query → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: endpoint 4xx/5xx → surfaced error/degraded state, never blank; invalid: malformed params/body → 422 (FastAPI validation); security: unauthenticated → identity gate (RequireAuth / get_identity); no cross-analyst read; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-24,Command Center,NL Query - Caveats & Disclaimers,"As a buy-side analyst, I want caveats so that I understand limitations (seed data, qualitative matching).",Bulleted caveats in small muted text below results when present.,Successful query with caveats,caos/frontend/src/components/command/NlQuery.tsx:304,POST /api/query/nl,Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,"API unreachable/timeout → bounded failure state, no hang (axios 20s default); validation: POST query/nl: question(required,minLen=1,maxLen=500)","happy: Successful query with caveats → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: endpoint 4xx/5xx → surfaced error/degraded state, never blank; invalid: malformed params/body → 422 (FastAPI validation); security: unauthenticated → identity gate (RequireAuth / get_identity); no cross-analyst read; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-29,Sector Review,Sector Review - Feed Selector,"As a Head of Research, I want sector feed toggles so that the daily brief matches my coverage scope.",Standalone /sector page shows feed toggles; selecting a sector loads its CP-SR daily brief; all seed rows are provenance-badged.,Route load /sector,caos/frontend/src/components/sector/SectorReviewWorkspace.tsx:1,GET /api/sector/feeds; PUT /api/sector/feeds,Pass,Pass — GET/PUT /api/sector/feeds round-trip + provenance asserted (test_sector_routes.py::test_sector_feed_toggle_and_topic_ask); /sector feed selector renders with seed badges (SectorReviewWorkspace.test.tsx).,,Command no longer owns Sector Board state or localStorage sector selection. Supersedes removed Command Sector Board; first version is seed/demo until API-backed CP-SR synthesis lands.,No feeds -> empty state; save failure -> bounded error; toggles scoped to caller identity.,happy: load /sector -> feeds visible; toggle feed -> PUT /api/sector/feeds; /command no longer renders Sector Board.,0,2026-07-11
command-30,Sector Review,Sector Review - Daily Signal Cards,"As a Head of Research, I want grouped daily sector cards so that I can scan source-backed developments quickly.","Grouped signal cards show severity, headline, summary, issuer chips, source chips, materiality score, timestamp, and seed/demo badge.",Select sector on /sector,caos/frontend/src/components/sector/SectorReviewWorkspace.tsx:1,GET /api/sector/signals; GET /api/sector/review,Pass,Pass — grouped cards with severity/headline/chips/materiality/seed badge render (SectorReviewWorkspace.test.tsx); materiality + dedup deterministic (test_sector_routes.py).,,All first-version cards must remain seed/demo-provenance until live signal persistence and CP-SR synthesis exist. Replaces deleted Command SectorReview modal.,No matching signals -> empty state; API error -> bounded alert; long card text wraps.,happy: /sector renders grouped cards; filters narrow cards; source and issuer chips remain visible.,0,2026-07-11
command-31,Sector Review,Sector Review - Refresh Briefing,"As a Head of Research, I want to refresh the sector brief so that stale seed or live data is re-read through the API substrate.","Refresh button calls POST /api/sector/review/refresh and re-renders the review; first version returns ad_hoc_seed provenance, not live CP-SR.",Click Refresh on /sector,caos/frontend/src/components/sector/SectorReviewWorkspace.tsx:1; caos/server/routes/sector.py:1,POST /api/sector/review/refresh,Pass,Pass — POST /api/sector/review/refresh 200 with refresh_trigger=ad_hoc_seed (test_sector_routes.py::test_sector_refresh_and_invalid_date_bounds; added 2026-07-11); Refresh click re-renders via refreshSectorReview (SectorReviewWorkspace.test.tsx; added 2026-07-11).,,No hidden Command refresh path remains. Simulated Command refresh removed; CP-SR registry remains implemented=false.,Missing sector -> disabled; refresh error -> bounded alert; seed response remains explicitly badged.,happy: click Refresh -> POST refresh -> cards re-render with seed provenance.,0,2026-07-11
command-32,Command Center,Coverage Matrix - L1-L6 Freshness Grid,"As a Head of Research, I want coverage freshness by layer/issuer so that I know which analyses need re-running.",10 issuers × 6 layers grid; cells color-coded (fresh/aging/stale/running-pulse/blocked); hover shows status; per-issuer RE-RUN button.,Route load (RESEARCH view),caos/frontend/src/components/command/views.tsx:342; caos/frontend/src/lib/command/data.ts:142,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,10 issuers × 6 layers grid; cells color-coded (fresh/aging/stale/running-pulse/blocked),"happy: Route load (RESEARCH view) → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-33,Command Center,QA Queue Panel,"As a Head of Research/QA, I want open QA findings so that I can track and resolve issues.","Scrollable list; each item shows severity tag (HIGH/MEDIUM/LOW), QA ID, issuer+module, age, finding; ordered by age/severity; read-only.",Route load (RESEARCH view),caos/frontend/src/components/command/views.tsx:374; caos/frontend/src/lib/command/data.ts:156,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Route load (RESEARCH view) → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-34,Command Center,Source Gaps Panel,"As a Head of Research, I want requested-but-missing documents so that I can prioritize follow-up.","Scrollable list; each gap shows severity dot, issuer, document, impact, request date; read-only; ordered by severity/recency.",Route load (RESEARCH view),caos/frontend/src/components/command/views.tsx:392; caos/frontend/src/lib/command/data.ts:164,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",Low,"Workflow FIX (code): GapsList (views.tsx:392) now sorts severity→recency; previously rendered raw GAPS order, contradicting the documented 'ordered by severity'. Sibling QaQueue/AlertFeed already worst-first.",steady-state only (static render),"happy: Route load (RESEARCH view) → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-35,Command Center,Sector RV - Sheet Tabs,"As a buy-side analyst, I want to switch sector peer tables so that I can compare RV across sectors.","8 sector tabs (colored dot); active highlighted; click loads peer table, index stats, ratings averages; scroll horizontally on narrow.",Click sector tab,caos/frontend/src/components/command/SectorRV.tsx:183,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Click sector tab → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
